Distrito;NACE1;NACE2;Numero_Empregados;Num_anos_disponiveis_base;Variacao_das_vendas;Variacao_resultado_operacional;Variacao_do_activo;Variacao_dos_capitais_proprios;Variacao_do_ativo_circulante;Variacao_das_existencias;Variacao_do_imobilizado;Fundo_de_maneio;REPV;Prazo_medio_de_recebimento;Liquidez_geral;Liquidez_reduzida;Solvabilidade;Autonomia_financeira;Endividamento;Estrutura_financeira;Passivo_de_curto_prazo_a_dividir_passivo_total;Custos_dos_encargos_financeiros_dividir_resultado_operacional;Rendibilidade_operacional_vendas;Rendibilidade_liquida_das_vendas;Rendibilidade_do_ativo;Rendibilidade_capitais_proprios;Passivo_curto_prazo_dividir_vendas;Peso_das_amortizacoes_dividir_vendas;Peso_encargos_financeiros_dividir_vendas;Produtividade_por_trabalhador;Certificacao_legal_contas;Insolvencia
1;14;143;114;10;0.004760581;-1.369034615;0.273279592;0.454491066;0.042321845;0.035072444;0.78005009;-1458115;3.233043275;136.3099569;0.793404162;0.453667949;0.387534478;0.279297188;0.720702812;2.58041557;0.983426911;-0.35719996;-0.016080777;-0.050603605;-0.039394276;-0.205152878;0.232029334;0.059213447;0.045018979;1.225484397;1;0
1;14;141;94;6;0.215883181;0.045517332;-0.031579865;0.033796904;-0.098591918;-0.077924706;0.223355158;377815;8.244158349;66.40165877;1.083118103;0.657164197;0.436598175;0.303911176;0.696088974;2.290435593;0.977600771;0.514495646;0.002987372;0.004219471;0.01008308;0.034299025;0.076151012;0.017393414;0.005806408;1.404468149;1;0
1;14;141;18;4;0.17164875;-0.2441689;0.566026136;0.030960151;0.62145395;1.315243016;-0.308773162;323595;1.881883439;131.1991499;1.099631456;0.479458238;0.103717358;0.093970966;0.906029307;9.641587657;0.977317432;1.079978845;0.033400015;0.002730683;0.002821986;0.030960151;0.052144408;0.013131601;0.030926546;1.974744511;1;0
5;13;132;84;10;-0.231265297;-2.29480927;-0.052898392;-0.159305016;-0.034843232;-0.05183947;-0.063341723;-1080556;3.239122727;45.12802576;0.622921289;0.199708403;0.628609179;0.385979145;0.614020855;1.590813551;0.976325055;-0.670255445;-0.061030143;-0.089000202;-0.073139979;-0.159305016;0.277830303;0.058205491;0.091055049;1.219085151;1;0
1;14;141;26;10;-0.0870225;0.0249976;0.019932197;0.339647655;0.009680639;-0.458264743;0.070743964;1392054;46.46696598;72.90656766;1.650419883;1.561545229;0.952403458;0.487810668;0.512189098;1.049975188;0.974477461;14.32425097;0.154646635;0.11968315;0.246693313;0.6774803;0.050728728;0.013382065;0.010796141;4.662351797;1;0
1;13;133;73;3;0.239598609;21.25632365;0.247243098;13.11883337;0.822838513;-0.63387574;-0.02471459;-1115839;141.7394613;114.5185243;0.552004127;0.540079936;0.138978705;0.122020501;0.87797984;7.195346939;0.967619562;5.415530175;0.125363509;0.078962397;0.113378109;13.11883337;0.20630635;0.069359963;0.023148889;1.871394851;1;0
1;13;139;677;10;-0.046896529;-1.665190523;0.04423727;0.003245002;0.061002214;0.131062014;-0.00888022;2721711;3.644473509;182.3276852;1.083462604;0.722208464;0.356129177;0.26260712;0.73739288;2.807969874;0.966660446;-0.070437033;-0.004016431;0.004385512;0.004115673;0.015723215;0.222754907;0.046142861;0.05702158;1.493955307;1;0
1;13;139;58;9;0.041452631;0.880600507;-0.065498933;-0.022361087;0.127833184;-0.465021368;-0.209334535;277215;39.34662699;126.7487716;1.559063518;1.458078555;1.922970006;0.657882223;0.342117777;0.520028912;0.965271289;4.950015396;0.024478199;0.013727748;0.018013104;0.026768183;0.352234217;0.109356562;0.004945075;1.384197399;1;0
1;14;141;64;8;-0.221742432;-0.606144881;-0.119653045;0.426378189;-0.163005369;-0.321394387;-0.075188633;-221462;16.14944649;76.48009564;0.868315258;0.687463543;0.73891158;0.424927772;0.575072558;1.353341898;0.964059835;1.945358388;0.016924622;0.007188959;0.011640534;0.039074413;0.179278103;0.035579349;0.008700002;1.309310288;1;0
1;13;133;63;6;-0.09123778;-0.882137628;0.430905217;0.002911874;0.216482096;1.546959929;0.740726266;-193152;31.8720532;144.8139647;0.801120878;0.759628008;0.534438614;0.348295858;0.651704142;1.871122285;0.962334129;1.938299473;0.010028185;0.001413912;0.001172687;0.003376733;0.430460611;0.06464987;0.005173702;1.176453991;1;0
